Appid,Title,Early Access,Steam Release Date,Price (USD),Adj. review %,Filtered Reviews,All Reviews,Peak CCU,#Followers,PlayTracker rank,Top seller rank,Adj. review %,Metacritic,Opencritic,Hidden gem,Price (USD),Boxleiter Score (80),Gross Revenue,Company Revenue
677060,Into the Rhythm VR,Not current E.A.; former unknown,2017-09-18,19.99,59.8921,37,45,29,293,,9933,59.8921,-1,,0.476139,1999,2960,"$59,170.40",41419.28
689720,Gangsta Underground : The Poker,Not current E.A.; former unknown,2020-05-03,0,67.0863,37,37,8,178,,-1,67.0863,-1,,0.62577,0,2960,$0.00,0
723420,创世-修真录,Current E.A.,2017-11-07,0,65.2878,37,37,8,630,15816,-1,65.2878,-1,,0.591919,0,2960,$0.00,0
724180,Morgan lives in a Rocket House in VR,Not current E.A.; former unknown,2017-11-03,0,77.8777,37,37,10,206,15302,14789,77.8777,-1,,0.799316,0,2960,$0.00,0
757380,Ship Ahoy Open BETA,Not current E.A.; former unknown,2018-01-16,0,70.6835,37,37,10,357,15264,-1,70.6835,-1,,0.688496,0,2960,$0.00,0
610350,Poker Show VR,Not current E.A.; former unknown,2017-05-30,2.49,42.6359,36,38,4,422,20866,11294,42.6359,-1,,-1,249,2880,"$7,171.20",5019.84
739960,Kokoda VR,Not current E.A.; former unknown,2017-10-31,0,72.0924,36,36,11,302,15447,-1,72.0924,-1,,0.71156,0,2880,$0.00,0
1040940,Protocol VR,Not current E.A.; former unknown,2019-04-16,19.99,50,36,38,9,756,,-1,50,-1,,-1,1999,2880,"$57,571.20",40299.84
222500,Rail Adventures - VR Tech Demo,Not current E.A.; former unknown,2016-08-25,0,50,36,36,7,241,11248,-1,50,-1,,-1,0,2880,$0.00,0
340450,Crashed Lander,Not current E.A.; former unknown,2015-02-04,4.99,62.8872,36,50,11,294,12243,-1,62.8872,-1,,0.543463,499,2880,"$14,371.20",10059.84
357920,Final Strike,Current E.A.,2016-06-23,7.49,35.2717,36,39,6,1360,25400,-1,35.2717,-1,,-1,749,2880,"$21,571.20",15099.84
436400,Heroes of the Seven Seas VR,Not current E.A.; former unknown,2016-10-14,6.99,70.2514,36,44,7,545,11206,-1,70.2514,-1,,0.681266,699,2880,"$20,131.20",14091.84
450060,Insane Decay of Mind: The Labyrinth,Not current E.A.; former unknown,2016-05-06,2.99,40.7948,36,53,70,215,16631,-1,40.7948,-1,,-1,299,2880,"$8,611.20",6027.84
487770,Hoops VR,Not current E.A.; former unknown,2016-06-20,5.99,68.4103,36,60,95,319,11269,-1,68.4103,-1,,0.649562,599,2880,"$17,251.20",12075.84
493100,BellyBots,Current E.A.,2016-07-26,0,72.0924,36,36,4,135,15073,-1,72.0924,-1,,0.71156,0,2880,$0.00,0
496180,GE Neuro,Not current E.A.; former unknown,2016-09-05,0,66.5693,36,36,8,177,12002,-1,66.5693,-1,,0.616229,0,2880,$0.00,0
501470,Hold the door!,Current E.A.,2016-09-02,0,55.5231,36,36,6,-1,11587,-1,55.5231,-1,,0.35578,0,2880,$0.00,0
516940,MineSweeper VR,Not current E.A.; former unknown,2016-08-25,3.99,66.5693,36,37,4,366,22245,11046,66.5693,-1,,0.616229,399,2880,"$11,491.20",8043.84
553320,SYREN,Not current E.A.; former unknown,2017-02-16,19.99,50,36,38,9,668,,-1,50,-1,,-1,1999,2880,"$57,571.20",40299.84
559130,Inner Voices,Not current E.A.; former unknown,2017-05-10,9.99,50,36,55,16,1664,13897,13818,50,-1,,-1,999,2880,"$28,771.20",20139.84
1286370,Project RTD: Random Tower Defense VR,Not current E.A.; former unknown,2020-05-18,8.99,73.9334,36,42,6,314,,11759,73.9334,-1,,0.740615,899,2880,"$25,891.20",18123.84
1227160,MENTAL,Current E.A.,2020-02-20,24.99,56.5998,35,52,6,333,,8256,56.5998,-1,,0.388915,2499,2800,"$69,972.00",48980.4
1426280,Hello Puppets!,Not current E.A.; former unknown,2020-10-22,19.99,71.685,35,72,10,448,23965,2877,71.685,-1,,0.704969,1999,2800,"$55,972.00",39180.4
1429640,HINGE: Episode 1,Not current E.A.; former unknown,2020-11-28,29.99,45.2859,35,47,4,440,,9523,45.2859,-1,,-1,2999,2800,"$83,972.00",58780.4
1440870,Corrupted Hospital : Summoner VR Part1,Not current E.A.; former unknown,2020-10-23,1.49,64.1424,35,36,4,143,,4815,64.1424,-1,,0.569314,149,2800,"$4,172.00",2920.4
858860,Tabletop Gods,Former E.A.,2019-05-16,19.99,77.342,35,94,55,1120,21003,-1,77.342,-1,,0.791598,1999,2800,"$55,972.00",39180.4
870730,Adapt or Perish,Not current E.A.; former unknown,2019-02-11,9.99,73.5707,35,42,9,494,,-1,73.5707,-1,,0.734981,999,2800,"$27,972.00",19580.4
886710,Lavender,Current E.A.,2019-12-11,19.99,43.4002,35,70,37,757,,-1,43.4002,-1,,-1,1999,2800,"$55,972.00",39180.4
916100,Telefrag VR,Not current E.A.; former unknown,2019-07-19,19.99,60.3711,35,65,73,1175,21971,-1,60.3711,-1,,0.487531,1999,2800,"$55,972.00",39180.4
987000,Shadow Uprising,Not current E.A.; former unknown,2018-12-14,19.99,69.7994,35,43,5,395,22694,12624,69.7994,-1,,0.673621,1999,2800,"$55,972.00",39180.4
1057130,Exogen VR,Not current E.A.; former unknown,2019-04-25,0,77.342,35,35,9,177,,-1,77.342,-1,,0.791598,0,2800,$0.00,0
1075000,Beyond the Stars VR,Not current E.A.; former unknown,2019-06-04,0,64.1424,35,35,19,204,,-1,64.1424,-1,,0.569314,0,2800,$0.00,0
1077850,Grave of the Petrified,Not current E.A.; former unknown,2020-03-12,0,69.7994,35,35,7,358,,-1,69.7994,-1,,0.673621,0,2800,$0.00,0
586080,Age of Heroes (VR),Not current E.A.; former unknown,2017-07-20,29.99,35.8576,35,37,28,924,,-1,35.8576,-1,,-1,2999,2800,"$83,972.00",58780.4
602010,Plank not included,Not current E.A.; former unknown,2017-02-28,11.99,71.685,35,42,38,254,14163,11026,71.685,-1,,0.704969,1199,2800,"$33,572.00",23500.4
